,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,
,Poor,280,PM<s>2.5</s>,1,2017-04-11,,
,Satisfactory,74,PM<s>10</s>,1,2017-04-11,,
,Poor,202,"O<s>3</s>, PM<s>10</s>",5,2017-04-11,,
,Satisfactory,84,PM<s>2.5</s>,1,2017-04-11,,
,Poor,258,PM<s>2.5</s>,1,2017-04-11,,
,Moderate,132,PM<s>2.5</s>,1,2017-04-11,,
,Satisfactory,70,PM<s>10</s>,1,2017-04-11,,
,Moderate,196,"O<s>3</s>, PM<s>2.5</s>",3,2017-04-11,,
,Very Poor,326,O<s>3</s>,<s>#</s>1,2017-04-11,,
,Moderate,135,PM<s>10</s>,1,2017-04-11,,
,Moderate,173,O<s>3</s>,1,2017-04-11,,
,Moderate,199,O<s>3</s>,<s>#</s>1,2017-04-11,,
,Satisfactory,94,PM<s>10</s>,1,2017-04-11,,
,Satisfactory,61,PM<s>2.5</s>,1,2017-04-11,,
,Moderate,142,PM<s>2.5</s>,1,2017-04-11,,
,Satisfactory,68,PM<s>2.5</s>,1,2017-04-11,,
,Moderate,147,PM<s>10</s>,1,2017-04-11,,
,Moderate,176,PM<s>10</s>,1,2017-04-11,,
,Moderate,104,PM<s>10</s>,<s>#</s>1,2017-04-11,,
,Satisfactory,75,PM<s>10</s>,1,2017-04-11,,
,Moderate,116,PM<s>2.5</s>,1,2017-04-12,,
,Moderate,136,O<s>3</s>,1,2017-04-12,,
,Poor,213,PM<s>10</s>,1,2017-04-12,,
,Moderate,187,"PM<s>2.5</s>, O<s>3</s>",5,2017-04-12,,
,Moderate,147,PM<s>10</s>,1,2017-04-12,,
,Moderate,158,PM<s>2.5</s>,1,2017-04-12,,
,Poor,220,PM<s>2.5</s>,1,2017-04-12,,
,Moderate,153,PM<s>2.5</s>,1,2017-04-12,,
,Poor,213,PM<s>2.5</s>,1,2017-04-12,,
,Moderate,122,PM<s>2.5</s>,1,2017-04-12,,
,Satisfactory,78,PM<s>10</s>,1,2017-04-12,,
,Moderate,193,O<s>3</s>,1,2017-04-12,,
,Moderate,195,PM<s>2.5</s>,1,2017-04-12,,
,Moderate,176,O<s>3</s>,<s>#</s>1,2017-04-12,,
,Satisfactory,68,PM<s>10</s>,1,2017-04-12,,
,Poor,287,PM<s>2.5</s>,1,2017-04-12,,
,Moderate,137,PM<s>10</s>,1,2017-04-12,,
,Poor,267,PM<s>10</s>,1,2017-04-12,,
,Satisfactory,90,PM<s>10</s>,<s>#</s>1,2017-04-12,,
,Poor,207,PM<s>2.5</s>,1,2017-04-13,,
,Moderate,142,PM<s>10</s>,1,2017-04-13,,
,Poor,219,PM<s>2.5</s>,1,2017-04-13,,
,Moderate,150,PM<s>2.5</s>,1,2017-04-13,,
,Poor,285,PM<s>2.5</s>,4,2017-04-13,,
,Moderate,124,PM<s>10</s>,1,2017-04-13,,
,Moderate,157,PM<s>2.5</s>,1,2017-04-13,,
,Very Poor,349,PM<s>2.5</s>,1,2017-04-13,,
,Poor,215,PM<s>2.5</s>,1,2017-04-13,,
,Satisfactory,65,PM<s>10</s>,1,2017-04-13,,
,Very Poor,302,O<s>3</s>,1,2017-04-13,,
,Moderate,144,PM<s>2.5</s>,1,2017-04-13,,
,Moderate,178,PM<s>2.5</s>,1,2017-04-13,,
,Poor,201,PM<s>2.5</s>,<s>#</s>1,2017-04-13,,
,Moderate,178,O<s>3</s>,1,2017-04-13,,
,Satisfactory,91,PM<s>10</s>,1,2017-04-13,,
,Poor,233,PM<s>2.5</s>,1,2017-04-13,,
,Satisfactory,97,PM<s>10</s>,1,2017-04-13,,
,Moderate,192,PM<s>2.5</s>,1,2017-04-13,,
,Moderate,162,PM<s>10</s>,1,2017-04-13,,
,Very Poor,334,PM<s>10</s>,1,2017-04-13,,
,Moderate,106,PM<s>10</s>,1,2017-04-13,,
,Satisfactory,51,PM<s>2.5</s>,<s>#</s>1,2017-04-14,,
,Moderate,175,PM<s>2.5</s>,<s>#</s>1,2017-04-14,,
,Moderate,111,"PM<s>2.5</s>, O<s>3</s>",5,2017-04-14,,
,Poor,202,"PM<s>2.5</s>, O<s>3</s>",2,2017-04-14,,
,Satisfactory,82,PM<s>2.5</s>,3,2017-04-14,,
,Very Poor,304,"PM<s>2.5</s>, PM<s>10</s>",10,2017-04-14,,
,Moderate,116,PM<s>10</s>,1,2017-04-14,,
,Very Poor,318,PM<s>2.5</s>,1,2017-04-14,,
,Moderate,172,PM<s>2.5</s>,1,2017-04-14,,
,Very Poor,361,PM<s>2.5</s>,1,2017-04-14,,
,Satisfactory,68,PM<s>10</s>,1,2017-04-14,,
,Moderate,185,"O<s>3</s>, PM<s>10</s>",5,2017-04-14,,
,Poor,230,PM<s>2.5</s>,1,2017-04-14,,
,Moderate,168,PM<s>2.5</s>,1,2017-04-14,,
,Satisfactory,59,PM<s>10</s>,<s>#</s>1,2017-04-14,,
,Poor,290,"O<s>3</s>, PM<s>2.5</s>",2,2017-04-14,,
,Moderate,103,PM<s>10</s>,<s>#</s>1,2017-04-14,,
,Moderate,192,PM<s>2.5</s>,1,2017-04-14,,
,Poor,223,PM<s>2.5</s>,<s>#</s>1,2017-04-14,,
,Moderate,191,O<s>3</s>,<s>#</s>1,2017-04-14,,
,Satisfactory,59,PM<s>10</s>,1,2017-04-14,,
,Good,49,PM<s>2.5</s>,1,2017-04-14,,
,Satisfactory,71,PM<s>10</s>,1,2017-04-14,,
,Moderate,164,PM<s>2.5</s>,<s>#</s>1,2017-04-14,,
,Moderate,160,PM<s>10</s>,1,2017-04-14,,
,Moderate,132,PM<s>10</s>,1,2017-04-14,,
,Moderate,113,NO<s>2</s>,1,2017-04-14,,
,Satisfactory,96,PM<s>10</s>,1,2017-04-14,,
,Poor,209,PM<s>2.5</s>,1,2017-04-15,,
,Good,46,CO,1,2017-04-15,,
,Moderate,127,"O<s>3</s>, PM<s>10</s>",2,2017-04-15,,
,Moderate,138,PM<s>10</s>,1,2017-04-15,,
,Moderate,111,PM<s>2.5</s>,3,2017-04-15,,
,Very Poor,322,"PM<s>2.5</s>, PM<s>10</s>",10,2017-04-15,,
,Moderate,110,PM<s>10</s>,1,2017-04-15,,
,Very Poor,309,PM<s>2.5</s>,1,2017-04-15,,
,Moderate,195,PM<s>2.5</s>,1,2017-04-15,,
,Very Poor,346,PM<s>2.5</s>,1,2017-04-15,,
,Satisfactory,80,PM<s>10</s>,1,2017-04-15,,
,Satisfactory,100,PM<s>10</s>,<s>#</s>1,2017-04-15,,
,Moderate,147,"O<s>3</s>, PM<s>10</s>",4,2017-04-15,,
,Satisfactory,81,PM<s>10</s>,<s>#</s>1,2017-04-15,,
,Poor,261,PM<s>2.5</s>,1,2017-04-15,,
,Poor,210,PM<s>2.5</s>,1,2017-04-15,,
,Satisfactory,82,"CO, PM<s>10</s>",<s>#</s>2,2017-04-15,,
,Poor,243,"O<s>3</s>, PM<s>2.5</s>",2,2017-04-15,,
,Moderate,147,PM<s>10</s>,1,2017-04-15,,
,Satisfactory,87,PM<s>10</s>,<s>#</s>1,2017-04-15,,
,Moderate,128,PM<s>2.5</s>,1,2017-04-15,,
,Moderate,188,PM<s>2.5</s>,1,2017-04-15,,
,Moderate,172,O<s>3</s>,1,2017-04-15,,
,Satisfactory,70,PM<s>10</s>,1,2017-04-15,,
,Satisfactory,67,PM<s>2.5</s>,1,2017-04-15,,
,Poor,255,PM<s>2.5</s>,1,2017-04-15,,
,Satisfactory,74,PM<s>10</s>,1,2017-04-15,,
,Satisfactory,90,PM<s>2.5</s>,<s>#</s>1,2017-04-15,,
,Moderate,136,PM<s>10</s>,1,2017-04-15,,
,Moderate,162,O<s>3</s>,<s>#</s>1,2017-04-15,,
,Moderate,114,NO<s>2</s>,1,2017-04-15,,
,Satisfactory,99,PM<s>10</s>,1,2017-04-15,,
,Poor,212,PM<s>2.5</s>,1,2017-04-16,,
,Good,46,CO,1,2017-04-16,,
,Moderate,109,"PM<s>2.5</s>, O<s>3</s>",4,2017-04-16,,
,Moderate,172,PM<s>10</s>,1,2017-04-16,,
,Moderate,137,PM<s>2.5</s>,3,2017-04-16,,
,Very Poor,310,"PM<s>2.5</s>, PM<s>10</s>",8,2017-04-16,,
,Moderate,103,PM<s>10</s>,<s>#</s>1,2017-04-16,,
,Poor,263,PM<s>2.5</s>,1,2017-04-16,,
,Satisfactory,100,PM<s>2.5</s>,1,2017-04-16,,
,Very Poor,329,PM<s>2.5</s>,1,2017-04-16,,
,Good,39,PM<s>10</s>,1,2017-04-16,,
,Satisfactory,63,PM<s>10</s>,1,2017-04-16,,
,Moderate,154,"O<s>3</s>, PM<s>10</s>",5,2017-04-16,,
,Very Poor,334,O<s>3</s>,<s>#</s>1,2017-04-16,,
,Moderate,123,PM<s>2.5</s>,1,2017-04-16,,
,Satisfactory,72,"O<s>3</s>, PM<s>10</s>",2,2017-04-16,,
,Moderate,189,"O<s>3</s>, PM<s>2.5</s>",2,2017-04-16,,
,Poor,230,PM<s>2.5</s>,<s>#</s>1,2017-04-16,,
,Satisfactory,64,PM<s>2.5</s>,1,2017-04-16,,
,Moderate,189,O<s>3</s>,1,2017-04-16,,
,Moderate,179,O<s>3</s>,1,2017-04-16,,
,Satisfactory,54,CO,1,2017-04-16,,
,Satisfactory,66,PM<s>2.5</s>,1,2017-04-16,,
,Moderate,127,PM<s>2.5</s>,1,2017-04-16,,
,Satisfactory,81,PM<s>10</s>,1,2017-04-16,,
,Moderate,129,PM<s>2.5</s>,1,2017-04-16,,
,Moderate,150,PM<s>10</s>,1,2017-04-16,,
,Moderate,114,PM<s>10</s>,1,2017-04-16,,
,Moderate,119,PM<s>10</s>,1,2017-04-16,,
,Poor,240,PM<s>10</s>,1,2017-04-16,,
,Satisfactory,84,PM<s>10</s>,1,2017-04-16,,
,Poor,212,PM<s>2.5</s>,1,2017-04-17,,
,Satisfactory,87,PM<s>10</s>,1,2017-04-17,,
,Moderate,144,O<s>3</s>,1,2017-04-17,,
,Satisfactory,72,"O<s>3</s>, PM<s>10</s>",3,2017-04-17,,
,Moderate,189,"PM<s>10</s>, O<s>3</s>",2,2017-04-17,,
,Moderate,172,PM<s>2.5</s>,3,2017-04-17,,
,Poor,249,PM<s>2.5</s>,<s>#</s>3,2017-04-17,,
,Satisfactory,88,CO,1,2017-04-17,,
,Poor,276,PM<s>2.5</s>,1,2017-04-17,,
,Satisfactory,65,PM<s>2.5</s>,1,2017-04-17,,
,Very Poor,307,PM<s>2.5</s>,1,2017-04-17,,
,Good,43,PM<s>10</s>,1,2017-04-17,,
,Satisfactory,80,PM<s>10</s>,1,2017-04-17,,
,Poor,204,"PM<s>2.5</s>, PM<s>10</s>",5,2017-04-17,,
,Poor,203,PM<s>2.5</s>,1,2017-04-17,,
,Moderate,159,PM<s>2.5</s>,1,2017-04-17,,
,Satisfactory,68,PM<s>10</s>,<s>#</s>2,2017-04-17,,
,Poor,213,"O<s>3</s>, PM<s>2.5</s>",2,2017-04-17,,
,Poor,237,PM<s>10</s>,<s>#</s>1,2017-04-17,,
,Satisfactory,54,PM<s>2.5</s>,1,2017-04-17,,
,Moderate,193,PM<s>2.5</s>,1,2017-04-17,,
,Poor,284,O<s>3</s>,1,2017-04-17,,
,Satisfactory,55,CO,1,2017-04-17,,
,Satisfactory,57,PM<s>2.5</s>,1,2017-04-17,,
,Moderate,121,PM<s>2.5</s>,1,2017-04-17,,
,Satisfactory,75,PM<s>10</s>,1,2017-04-17,,
,Moderate,199,PM<s>2.5</s>,<s>#</s>1,2017-04-17,,
,Moderate,127,PM<s>10</s>,1,2017-04-17,,
,Moderate,200,PM<s>10</s>,1,2017-04-17,,
,Satisfactory,86,PM<s>2.5</s>,1,2017-04-17,,
,Poor,249,PM<s>2.5</s>,1,2017-04-18,,
,Poor,206,PM<s>2.5</s>,1,2017-04-18,,
,Moderate,154,O<s>3</s>,1,2017-04-18,,
,Satisfactory,62,"O<s>3</s>, PM<s>2.5</s>",4,2017-04-18,,
,Moderate,191,"PM<s>10</s>, O<s>3</s>",2,2017-04-18,,
,Moderate,188,PM<s>2.5</s>,3,2017-04-18,,
,Very Poor,313,"PM<s>2.5</s>, PM<s>10</s>",7,2017-04-18,,
,Satisfactory,98,PM<s>10</s>,1,2017-04-18,,
,Very Poor,325,PM<s>2.5</s>,1,2017-04-18,,
,Moderate,133,PM<s>2.5</s>,1,2017-04-18,,
,Severe,402,PM<s>2.5</s>,1,2017-04-18,,
,Good,49,PM<s>10</s>,1,2017-04-18,,
,Satisfactory,82,PM<s>10</s>,1,2017-04-18,,
,Moderate,199,"PM<s>2.5</s>, PM<s>10</s>",5,2017-04-18,,
,Moderate,108,PM<s>2.5</s>,1,2017-04-18,,
,Moderate,138,PM<s>2.5</s>,1,2017-04-18,,
,Moderate,155,PM<s>2.5</s>,1,2017-04-18,,
,Satisfactory,65,PM<s>10</s>,2,2017-04-18,,
,Poor,291,"O<s>3</s>, PM<s>2.5</s>",2,2017-04-18,,
,Poor,236,O<s>3</s>,1,2017-04-18,,
,Satisfactory,72,PM<s>10</s>,1,2017-04-18,,
,Moderate,178,O<s>3</s>,1,2017-04-18,,
,Satisfactory,55,CO,1,2017-04-18,,
,Moderate,105,PM<s>2.5</s>,1,2017-04-18,,
,Moderate,164,PM<s>2.5</s>,1,2017-04-18,,
,Satisfactory,97,PM<s>10</s>,1,2017-04-18,,
,Moderate,174,PM<s>2.5</s>,<s>#</s>1,2017-04-18,,
,Moderate,120,PM<s>10</s>,1,2017-04-18,,
,Satisfactory,100,PM<s>10</s>,1,2017-04-18,,
,Poor,242,PM<s>10</s>,1,2017-04-18,,
,Satisfactory,95,PM<s>10</s>,1,2017-04-18,,
,Moderate,157,PM<s>2.5</s>,1,2017-04-19,,
,Satisfactory,97,PM<s>10</s>,1,2017-04-19,,
,Moderate,124,O<s>3</s>,1,2017-04-19,,
,Satisfactory,88,"PM<s>2.5</s>, O<s>3</s>",5,2017-04-19,,
,Moderate,179,"PM<s>2.5</s>, O<s>3</s>",2,2017-04-19,,
,Moderate,126,PM<s>2.5</s>,3,2017-04-19,,
,Poor,277,"PM<s>2.5</s>, PM<s>10</s>",9,2017-04-19,,
,Moderate,114,PM<s>10</s>,1,2017-04-19,,
,Moderate,142,PM<s>2.5</s>,1,2017-04-19,,
,Moderate,182,PM<s>2.5</s>,1,2017-04-19,,
,Very Poor,374,PM<s>2.5</s>,1,2017-04-19,,
,Satisfactory,59,PM<s>10</s>,1,2017-04-19,,
,Poor,217,PM<s>10</s>,1,2017-04-19,,
,Moderate,159,"PM<s>2.5</s>, PM<s>10</s>",5,2017-04-19,,
,Satisfactory,86,PM<s>2.5</s>,1,2017-04-19,,
,Moderate,172,PM<s>2.5</s>,1,2017-04-19,,
,Moderate,183,PM<s>2.5</s>,<s>#</s>1,2017-04-19,,
,Satisfactory,87,PM<s>10</s>,2,2017-04-19,,
,Very Poor,309,"PM<s>2.5</s>, O<s>3</s>",3,2017-04-19,,
,Satisfactory,67,PM<s>10</s>,1,2017-04-19,,
,Very Poor,307,PM<s>2.5</s>,1,2017-04-19,,
,Moderate,197,O<s>3</s>,1,2017-04-19,,
,Satisfactory,53,CO,1,2017-04-19,,
,Moderate,132,PM<s>2.5</s>,1,2017-04-19,,
,Moderate,113,PM<s>2.5</s>,<s>#</s>1,2017-04-19,,
,Moderate,127,PM<s>10</s>,1,2017-04-19,,
,Moderate,107,PM<s>10</s>,1,2017-04-19,,
,Poor,286,PM<s>10</s>,1,2017-04-19,,
,Moderate,115,PM<s>10</s>,1,2017-04-19,,
,Moderate,120,PM<s>2.5</s>,1,2017-04-20,,
,Satisfactory,67,"PM<s>2.5</s>, O<s>3</s>",4,2017-04-20,,
,Moderate,192,PM<s>10</s>,1,2017-04-20,,
,Moderate,128,PM<s>2.5</s>,2,2017-04-20,,
,Poor,238,"PM<s>2.5</s>, PM<s>10</s>",8,2017-04-20,,
,Moderate,115,PM<s>10</s>,1,2017-04-20,,
,Moderate,199,PM<s>2.5</s>,1,2017-04-20,,
,Moderate,159,PM<s>2.5</s>,1,2017-04-20,,
,Very Poor,344,PM<s>2.5</s>,1,2017-04-20,,
,Satisfactory,96,PM<s>10</s>,1,2017-04-20,,
,Satisfactory,87,PM<s>10</s>,<s>#</s>1,2017-04-20,,
,Moderate,125,"PM<s>2.5</s>, PM<s>10</s>",5,2017-04-20,,
,Satisfactory,95,PM<s>2.5</s>,1,2017-04-20,,
,Moderate,148,PM<s>2.5</s>,1,2017-04-20,,
,Poor,204,PM<s>2.5</s>,<s>#</s>1,2017-04-20,,
,Satisfactory,77,PM<s>10</s>,2,2017-04-20,,
,Poor,295,PM<s>2.5</s>,3,2017-04-20,,
,Moderate,111,PM<s>2.5</s>,1,2017-04-20,,
,Satisfactory,60,PM<s>10</s>,1,2017-04-20,,
,Satisfactory,66,PM<s>2.5</s>,1,2017-04-20,,
,Moderate,138,O<s>3</s>,1,2017-04-20,,
,Satisfactory,53,CO,1,2017-04-20,,
,Satisfactory,64,PM<s>10</s>,1,2017-04-20,,
,Satisfactory,99,PM<s>10</s>,1,2017-04-20,,
,Moderate,101,PM<s>10</s>,1,2017-04-20,,
,Poor,293,PM<s>10</s>,1,2017-04-20,,
,Moderate,116,PM<s>10</s>,1,2017-04-20,,
,Moderate,163,PM<s>2.5</s>,1,2017-04-21,,
,Satisfactory,62,"PM<s>2.5</s>, O<s>3</s>",3,2017-04-21,,
,Moderate,155,PM<s>10</s>,1,2017-04-21,,
,Moderate,159,PM<s>2.5</s>,3,2017-04-21,,
,Poor,253,"PM<s>2.5</s>, PM<s>10</s>",9,2017-04-21,,
,Moderate,101,PM<s>10</s>,1,2017-04-21,,
,Poor,210,PM<s>2.5</s>,1,2017-04-21,,
,Satisfactory,96,PM<s>2.5</s>,1,2017-04-21,,
,Very Poor,338,PM<s>2.5</s>,1,2017-04-21,,
,Satisfactory,81,PM<s>10</s>,1,2017-04-21,,
,Satisfactory,90,NO<s>2</s>,1,2017-04-21,,
,Moderate,149,"PM<s>2.5</s>, O<s>3</s>",5,2017-04-21,,
,Moderate,152,PM<s>2.5</s>,1,2017-04-21,,
,Poor,283,PM<s>2.5</s>,1,2017-04-21,,
,Moderate,114,PM<s>2.5</s>,1,2017-04-21,,
,Moderate,138,"O<s>3</s>, PM<s>10</s>",2,2017-04-21,,
,Poor,231,"O<s>3</s>, PM<s>2.5</s>",3,2017-04-21,,
,Satisfactory,52,CO,1,2017-04-21,,
,Satisfactory,67,PM<s>10</s>,1,2017-04-21,,
,Satisfactory,66,PM<s>2.5</s>,1,2017-04-21,,
,Moderate,119,O<s>3</s>,1,2017-04-21,,
,Satisfactory,54,CO,1,2017-04-21,,
,Moderate,130,PM<s>2.5</s>,1,2017-04-21,,
,Moderate,118,PM<s>2.5</s>,1,2017-04-21,,
,Satisfactory,59,PM<s>10</s>,1,2017-04-21,,
,Satisfactory,87,PM<s>10</s>,1,2017-04-21,,
,Moderate,145,NO<s>2</s>,1,2017-04-21,,
,Satisfactory,88,PM<s>10</s>,1,2017-04-21,,
,Moderate,184,PM<s>10</s>,1,2017-04-21,,
,Moderate,122,PM<s>10</s>,1,2017-04-21,,
,Moderate,186,PM<s>2.5</s>,1,2017-04-22,,
,Moderate,103,O<s>3</s>,1,2017-04-22,,
,Good,49,"PM<s>2.5</s>, NO<s>2</s>",4,2017-04-22,,
,Moderate,139,PM<s>10</s>,1,2017-04-22,,
,Moderate,184,PM<s>2.5</s>,3,2017-04-22,,
,Poor,245,"PM<s>2.5</s>, PM<s>10</s>",6,2017-04-22,,
,Moderate,113,PM<s>10</s>,1,2017-04-22,,
,Poor,256,PM<s>2.5</s>,1,2017-04-22,,
,Moderate,104,PM<s>2.5</s>,1,2017-04-22,,
,Severe,418,PM<s>2.5</s>,1,2017-04-22,,
,Satisfactory,91,PM<s>10</s>,1,2017-04-22,,
,Satisfactory,75,PM<s>10</s>,1,2017-04-22,,
,Moderate,142,"PM<s>2.5</s>, PM<s>10</s>",4,2017-04-22,,
,Satisfactory,84,PM<s>10</s>,<s>#</s>1,2017-04-22,,
,Moderate,188,PM<s>2.5</s>,<s>#</s>1,2017-04-22,,
,Moderate,155,PM<s>2.5</s>,1,2017-04-22,,
,Satisfactory,99,PM<s>10</s>,<s>#</s>2,2017-04-22,,
,Poor,272,PM<s>2.5</s>,3,2017-04-22,,
,Satisfactory,98,PM<s>2.5</s>,1,2017-04-22,,
,Poor,256,PM<s>2.5</s>,<s>#</s>1,2017-04-22,,
,Satisfactory,59,PM<s>2.5</s>,1,2017-04-22,,
,Moderate,178,O<s>3</s>,1,2017-04-22,,
,Satisfactory,52,CO,1,2017-04-22,,
,Moderate,115,PM<s>2.5</s>,1,2017-04-22,,
,Satisfactory,58,PM<s>10</s>,1,2017-04-22,,
,Moderate,193,PM<s>2.5</s>,<s>#</s>1,2017-04-22,,
,Satisfactory,87,PM<s>10</s>,1,2017-04-22,,
,Satisfactory,90,NO<s>2</s>,1,2017-04-22,,
,Satisfactory,86,NO<s>2</s>,1,2017-04-22,,
,Moderate,182,PM<s>2.5</s>,1,2017-04-22,,
,Moderate,130,PM<s>10</s>,1,2017-04-22,,
,Moderate,142,PM<s>2.5</s>,1,2017-04-23,,
,Moderate,104,PM<s>10</s>,1,2017-04-23,,
,Good,46,"PM<s>2.5</s>, NO<s>2</s>",2,2017-04-23,,
,Moderate,121,PM<s>10</s>,1,2017-04-23,,
,Moderate,183,PM<s>2.5</s>,3,2017-04-23,,
,Moderate,190,"PM<s>2.5</s>, PM<s>10</s>",6,2017-04-23,,
,Satisfactory,68,PM<s>10</s>,1,2017-04-23,,
,Moderate,188,PM<s>2.5</s>,1,2017-04-23,,
,Moderate,128,PM<s>2.5</s>,1,2017-04-23,,
,Very Poor,322,PM<s>2.5</s>,1,2017-04-23,,
,Satisfactory,62,PM<s>10</s>,1,2017-04-23,,
,Satisfactory,68,NO<s>2</s>,1,2017-04-23,,
,Moderate,168,"PM<s>2.5</s>, PM<s>10</s>",5,2017-04-23,,
,Moderate,140,PM<s>10</s>,1,2017-04-23,,
,Very Poor,311,O<s>3</s>,1,2017-04-23,,
,Poor,222,PM<s>2.5</s>,1,2017-04-23,,
,Satisfactory,81,PM<s>10</s>,2,2017-04-23,,
,Poor,269,PM<s>2.5</s>,<s>#</s>2,2017-04-23,,
,Satisfactory,96,PM<s>2.5</s>,1,2017-04-23,,
,Good,44,CO,<s>#</s>1,2017-04-23,,
,Satisfactory,75,PM<s>10</s>,1,2017-04-23,,
,Moderate,166,O<s>3</s>,1,2017-04-23,,
,Satisfactory,51,CO,1,2017-04-23,,
,Satisfactory,59,PM<s>2.5</s>,1,2017-04-23,,
,Satisfactory,58,PM<s>10</s>,1,2017-04-23,,
,Poor,271,PM<s>2.5</s>,1,2017-04-23,,
,Satisfactory,98,PM<s>10</s>,1,2017-04-23,,
,Satisfactory,90,PM<s>10</s>,1,2017-04-23,,
,Satisfactory,95,PM<s>10</s>,1,2017-04-23,,
,Moderate,114,PM<s>10</s>,1,2017-04-23,,
,Moderate,167,PM<s>2.5</s>,1,2017-04-24,,
,Moderate,102,O<s>3</s>,1,2017-04-24,,
,Satisfactory,64,"PM<s>2.5</s>, PM<s>10</s>",4,2017-04-24,,
,Moderate,145,PM<s>10</s>,<s>#</s>1,2017-04-24,,
,Moderate,122,PM<s>2.5</s>,2,2017-04-24,,
,Moderate,179,"PM<s>2.5</s>, PM<s>10</s>",7,2017-04-24,,
,Moderate,173,PM<s>2.5</s>,1,2017-04-24,,
,Moderate,170,PM<s>2.5</s>,1,2017-04-24,,
,Poor,286,PM<s>2.5</s>,1,2017-04-24,,
,Satisfactory,75,PM<s>10</s>,1,2017-04-24,,
,Satisfactory,76,NO<s>2</s>,1,2017-04-24,,
,Moderate,172,"PM<s>2.5</s>, PM<s>10</s>",5,2017-04-24,,
,Poor,214,PM<s>10</s>,<s>#</s>1,2017-04-24,,
,Poor,220,PM<s>2.5</s>,1,2017-04-24,,
,Moderate,112,PM<s>2.5</s>,1,2017-04-24,,
,Satisfactory,82,PM<s>10</s>,2,2017-04-24,,
,Poor,264,"O<s>3</s>, PM<s>2.5</s>",3,2017-04-24,,
,Moderate,110,PM<s>2.5</s>,1,2017-04-24,,
,Good,40,PM<s>2.5</s>,1,2017-04-24,,
,Satisfactory,66,PM<s>10</s>,1,2017-04-24,,
,Moderate,135,O<s>3</s>,1,2017-04-24,,
,Satisfactory,51,CO,1,2017-04-24,,
,Satisfactory,63,PM<s>2.5</s>,1,2017-04-24,,
,Satisfactory,68,PM<s>10</s>,1,2017-04-24,,
,Poor,250,PM<s>2.5</s>,1,2017-04-24,,
,Moderate,111,PM<s>10</s>,1,2017-04-24,,
,Moderate,101,PM<s>2.5</s>,1,2017-04-24,,
,Moderate,106,PM<s>10</s>,1,2017-04-24,,
,Satisfactory,100,PM<s>2.5</s>,1,2017-04-24,,
,Satisfactory,79,PM<s>2.5</s>,1,2017-04-25,,
,Good,42,PM<s>2.5</s>,1,2017-04-25,,
,Moderate,104,O<s>3</s>,1,2017-04-25,,
,Satisfactory,71,"PM<s>2.5</s>, NO<s>2</s>",<s>#</s>3,2017-04-25,,
,Moderate,145,PM<s>10</s>,<s>#</s>1,2017-04-25,,
,Moderate,122,PM<s>2.5</s>,2,2017-04-25,,
,Poor,207,"O<s>3</s>, PM<s>2.5</s>",8,2017-04-25,,
,Moderate,176,PM<s>2.5</s>,1,2017-04-25,,
,Poor,243,PM<s>2.5</s>,1,2017-04-25,,
,Poor,232,PM<s>2.5</s>,1,2017-04-25,,
,Satisfactory,92,PM<s>10</s>,1,2017-04-25,,
,Satisfactory,64,PM<s>10</s>,1,2017-04-25,,
,Moderate,165,PM<s>10</s>,4,2017-04-25,,
,Poor,264,PM<s>2.5</s>,1,2017-04-25,,
,Poor,206,PM<s>2.5</s>,1,2017-04-25,,
,Satisfactory,87,PM<s>2.5</s>,1,2017-04-25,,
,Satisfactory,100,PM<s>10</s>,2,2017-04-25,,
,Poor,255,"O<s>3</s>, PM<s>2.5</s>",2,2017-04-25,,
,Moderate,172,PM<s>2.5</s>,1,2017-04-25,,
,Satisfactory,91,PM<s>10</s>,1,2017-04-25,,
,Moderate,134,O<s>3</s>,1,2017-04-25,,
,Satisfactory,53,CO,1,2017-04-25,,
,Satisfactory,78,PM<s>2.5</s>,1,2017-04-25,,
,Poor,216,PM<s>2.5</s>,1,2017-04-25,,
,Satisfactory,72,PM<s>10</s>,1,2017-04-25,,
,Moderate,156,PM<s>2.5</s>,<s>#</s>1,2017-04-25,,
,Satisfactory,98,PM<s>10</s>,1,2017-04-25,,
,Moderate,108,PM<s>10</s>,1,2017-04-25,,
,Moderate,110,PM<s>10</s>,1,2017-04-25,,
,Moderate,118,PM<s>10</s>,1,2017-04-25,,
,Satisfactory,72,PM<s>2.5</s>,1,2017-04-26,,
,Good,47,PM<s>2.5</s>,1,2017-04-26,,
,Moderate,105,PM<s>10</s>,1,2017-04-26,,
,Satisfactory,60,"O<s>3</s>, NO<s>2</s>",2,2017-04-26,,
,Moderate,140,"PM<s>10</s>, O<s>3</s>",2,2017-04-26,,
,Moderate,150,PM<s>2.5</s>,3,2017-04-26,,
,Moderate,170,"PM<s>2.5</s>, PM<s>10</s>",7,2017-04-26,,
,Satisfactory,77,PM<s>2.5</s>,1,2017-04-26,,
,Poor,216,PM<s>2.5</s>,1,2017-04-26,,
,Satisfactory,96,PM<s>10</s>,1,2017-04-26,,
,Satisfactory,65,PM<s>10</s>,1,2017-04-26,,
,Moderate,187,"O<s>3</s>, PM<s>10</s>",2,2017-04-26,,
,Poor,290,PM<s>2.5</s>,<s>#</s>1,2017-04-26,,
,Moderate,182,PM<s>2.5</s>,1,2017-04-26,,
